Borkovany;49.028264;16.810211;Břeclav;Jihomoravský kraj
Borkovice;49.208048;14.643532;Tábor;Jihočeský kraj
Borohrádek;50.097870;16.093365;Rychnov nad Kněžnou;Královéhradecký kraj
Borotice;48.857391;16.242711;Znojmo;Jihomoravský kraj
Borotice;49.735072;14.279808;Příbram;Středočeský kraj
Borotín;49.505132;14.613070;Tábor;Jihočeský kraj
Borotín;49.581447;16.671585;Blansko;Jihomoravský kraj
Borová;50.386091;16.253287;Náchod;Královéhradecký kraj
Borová;49.741782;16.162337;Svitavy;Pardubický kraj
Borová Lada;48.989939;13.659961;Prachatice;Jihočeský kraj
Borovany;48.898704;14.642367;České Budějovice;Jihočeský kraj
Borovany;49.343099;14.392567;Písek;Jihočeský kraj
Borovná;49.164698;15.394712;Jihlava;Kraj Vysočina
Borovnice;48.912174;14.519089;České Budějovice;Jihočeský kraj
Borovnice;49.667328;16.202654;Žďár nad Sázavou;Kraj Vysočina
Borovnice;50.063008;16.245418;Rychnov nad Kněžnou;Královéhradecký kraj
Borovnice;50.509256;15.617294;Trutnov;Královéhradecký kraj
Borovnice;49.648835;15.018438;Benešov;Středočeský kraj
Borovnička;50.500964;15.667313;Trutnov;Královéhradecký kraj
Borovník;49.355656;16.229456;Brno-venkov;Jihomoravský kraj
Borovno;49.622087;13.690481;Plzeň-jih;Plzeňský kraj
Borovy;49.525208;13.302442;Plzeň-jih;Plzeňský kraj
Boršice;49.062643;17.350953;Uherské Hradiště;Zlínský kraj
Boršice u Blatnice;48.934962;17.571104;Uherské Hradiště;Zlínský kraj
Boršov;49.404043;15.434297;Jihlava;Kraj Vysočina
Boršov nad Vltavou;48.921882;14.434092;České Budějovice;Jihočeský kraj
Borušov;49.780652;16.740556;Svitavy;Pardubický kraj
Bory;49.425865;16.026282;Žďár nad Sázavou;Kraj Vysočina
Bořanovice;50.178336;14.478857;Praha-východ;Středočeský kraj
Bořenovice;49.361618;17.564472;Kroměříž;Zlínský kraj
Bořetice;48.913124;16.853168;Břeclav;Jihomoravský kraj
Bořetice;49.496166;15.110050;Pelhřimov;Kraj Vysočina
Bořetín;49.189321;15.211941;Jindřichův Hradec;Jihočeský kraj
Bořetín;49.310234;14.947722;Pelhřimov;Kraj Vysočina
Bořice;49.976950;15.925435;Chrudim;Pardubický kraj
Bořislav;50.579462;13.929313;Teplice;Ústecký kraj
Bořitov;49.425135;16.591291;Blansko;Jihomoravský kraj
Boseň;50.504204;15.022906;Mladá Boleslav;Středočeský kraj
Boskovice;49.487612;16.660076;Blansko;Jihomoravský kraj
Boskovštejn;48.982797;15.929654;Znojmo;Jihomoravský kraj
Bošice;49.089388;13.840431;Prachatice;Jihočeský kraj
Bošilec;49.149418;14.646319;České Budějovice;Jihočeský kraj
Bošín;50.034233;16.203069;Ústí nad Orlicí;Pardubický kraj
Bošovice;49.053609;16.836868;Vyškov;Jihomoravský kraj
Boudy;49.448057;14.035591;Písek;Jihočeský kraj
Bousín;49.455207;16.889847;Prostějov;Olomoucký kraj
Bousov;49.901849;15.535529;Chrudim;Pardubický kraj
Bouzov;49.704361;16.892988;Olomouc;Olomoucký kraj
Bozkov;50.640171;15.337206;Semily;Liberecký kraj
Božanov;50.526878;16.365391;Náchod;Královéhradecký kraj
Božejov;49.362207;15.155899;Pelhřimov;Kraj Vysočina
Božetice;49.451230;14.444001;Písek;Jihočeský kraj
Boží Dar;50.409844;12.924571;Karlovy Vary;Karlovarský kraj
Božice;48.836967;16.288856;Znojmo;Jihomoravský kraj
Božičany;50.258843;12.769752;Karlovy Vary;Karlovarský kraj
Bradáčov;49.490902;14.871519;Tábor;Jihočeský kraj
Brada-Rybníček;50.465297;15.337606;Jičín;Královéhradecký kraj
Bradlec;50.451452;14.910293;Mladá Boleslav;Středočeský kraj
